glucose,eda,hr,temp
106.0,0.4917407499999999,57.78,34.31
107.0,0.37935825,51.45,34.53
107.0,0.5125525,52.43,34.31
107.0,0.421942,62.95,34.23
107.0,0.3835205,51.97,34.71
107.0,0.4885925,49.23,34.5
105.0,0.56959775,51.92,34.81
107.0,0.435443,50.37,34.81
107.0,0.4296795,51.67,34.71
106.0,0.43160075,51.18,34.73
103.0,0.58208475,52.02,34.57
102.0,0.913485,52.05,34.61
105.0,0.4837365,52.75,34.49
110.0,0.58112425,52.68,34.11
110.0,0.425464,54.75,34.0
109.0,0.526694,55.27,33.99
103.0,0.371674,54.53,34.34
102.0,0.3604675,48.8,34.29
134.0,0.419434,57.65,33.93
156.0,0.1898659999999999,54.52,34.23
172.0,0.2061949999999999,53.17,34.53
180.0,0.1825014999999999,54.45,34.61
181.0,0.272792,58.12,32.05
186.0,0.1079002499999999,61.62,33.59
184.0,0.00416225,65.6,34.05
181.0,0.4168725,55.32,34.23
188.0,0.446329,57.7,34.33
192.0,0.4706622499999999,59.18,34.49
193.0,0.2596115,54.93,34.87
189.0,0.2125449999999999,56.98,34.61
179.0,0.2355977499999999,66.67,34.49
165.0,0.3076912499999999,59.15,33.89
151.0,0.2381594999999999,56.73,33.47
138.0,0.2410409999999999,55.48,33.57
127.0,0.437684,57.48,33.73
122.0,0.450171,56.38,33.84
112.0,0.4661799999999999,56.35,34.11
93.0,0.31852425,57.52,34.95
89.0,0.2753,57.62,34.65
84.0,0.95311825,55.93,35.41
92.0,4.708113750000001,71.88,34.41
93.0,6.01766,66.52,34.59
90.0,0.30064775,58.67,29.63
185.0,0.15656725,70.62,30.09
162.0,0.226046,69.43,29.45
181.0,0.2093967499999999,69.63,30.27
135.0,0.2807962499999999,69.77,29.65
148.0,0.177379,60.02,33.83
136.0,0.1629709999999999,58.88,33.37
123.0,0.0461054999999999,68.17,33.47
145.0,0.2506997499999999,62.88,34.09
151.0,0.2257259999999999,56.57,34.45
151.0,0.25646325,57.63,34.31
144.0,0.0147284999999999,59.88,34.59
154.0,0.226046,59.52,32.53
159.0,0.2721515,51.88,33.23
162.0,0.30352925,49.35,33.34
163.0,0.1542722499999999,63.63,33.71
162.0,0.1738035,52.05,34.05
160.0,0.2061414999999999,49.98,34.27
158.0,0.2307952499999999,49.8,34.29
157.0,0.252247,49.97,34.31
156.0,0.2922694999999999,55.0,34.41
156.0,0.217081,55.82,34.57
157.0,0.3256215,52.67,35.07
158.0,0.3557185,53.42,35.33
160.0,0.3746089999999999,53.2,35.43
160.0,0.3925389999999999,53.98,35.39
161.0,0.362442,56.1,34.97
161.0,0.41719275,60.9,35.23
162.0,0.45305275,62.15,35.29
160.0,0.48346975,65.13,35.41
154.0,0.5062022500000001,66.73,35.55
147.0,0.5826715,67.98,35.59
141.0,1.58467825,69.77,35.61
138.0,1.334939,80.98,35.49
138.0,1.13963,64.07,35.5
140.0,3.798426,62.82,35.5
142.0,2.7812655,61.23,34.84
143.0,0.89587525,62.07,34.93
144.0,0.4818842499999999,62.12,35.11
142.0,0.4084945,64.72,34.99
141.0,0.6320325,69.58,34.49
135.0,0.0544305,52.03,35.05
132.0,0.0534697499999999,52.93,35.07
132.0,0.306411,52.0,34.73
133.0,0.33138475,52.48,34.55
133.0,0.34995525,52.42,34.45
133.0,0.366284,52.0,34.41
130.0,0.387416,51.15,34.37
131.0,0.4114295,50.42,34.41
131.0,0.4476094999999999,56.15,34.33
132.0,0.38133275,49.42,34.43
132.0,0.36116125,50.75,34.97
132.0,0.372688,52.53,34.75
131.0,0.4235959999999999,48.3,34.16
130.0,0.378131,54.33,34.59
128.0,0.3810125,50.27,35.07
126.0,0.2093964999999999,48.98,34.99
124.0,0.2206032499999999,49.65,35.16
122.0,0.2314889999999999,50.6,35.41
122.0,0.236932,50.32,35.47
122.0,0.2676692499999999,51.28,35.49
122.0,0.437364,51.68,35.53
121.0,0.57850925,51.58,35.55
120.0,0.559939,51.27,35.55
118.0,2.88628425,53.05,35.25
119.0,3.97292325,50.72,35.13
120.0,0.75691775,57.25,34.84
119.0,0.585622,51.62,34.81
120.0,0.24680425,63.77,34.47
124.0,0.2916295,54.55,33.49
126.0,0.335814,52.87,33.61
125.0,0.379358,50.73,33.91
135.0,0.31793725,71.37,33.41
122.0,0.03041675,64.43,32.77
119.0,0.2948842499999999,65.22,31.05
115.0,0.1860239999999999,74.23,32.75
157.0,0.0,143.85,20.15
166.0,0.0,119.55,20.09
123.0,0.680395,105.27,33.95
128.0,0.33522675,55.25,34.63
128.0,0.37909125,59.57,34.84
129.0,0.393179,58.4,34.66
129.0,0.3967009999999999,54.87,34.68
129.0,0.4181534999999999,54.52,34.75
131.0,0.43256125,56.28,34.83
133.0,0.44472825,57.57,34.93
135.0,0.4536929999999999,57.87,34.91
133.0,0.47354425,58.1,34.99
129.0,0.48667125,58.02,35.05
128.0,0.4933949999999999,58.95,34.91
126.0,0.4972372499999999,63.32,34.66
123.0,0.4364035,62.5,34.66
121.0,0.4536932499999999,55.05,34.33
122.0,0.4693814999999999,55.57,34.27
124.0,0.476746,56.92,34.33
126.0,0.48411,59.85,34.41
126.0,0.48891275,55.0,34.45
126.0,0.4965967499999999,58.38,34.47
124.0,0.539181,57.55,34.5
123.0,3.49553725,56.62,34.59
124.0,3.58358625,51.72,34.73
121.0,3.938202,51.67,34.95
120.0,2.03705175,54.87,34.93
120.0,0.48828825,51.38,35.27
120.0,0.4280255,52.27,35.37
120.0,0.4084945,51.95,35.34
121.0,0.388003,54.12,35.25
121.0,0.3361342499999999,55.27,34.97
120.0,0.55070675,54.0,34.99
118.0,0.3441385,62.88,34.81
116.0,0.3495815,51.68,34.99
116.0,0.3659105,55.05,35.0
123.0,0.4635649999999999,51.2,34.89
123.0,0.4741309999999999,51.78,34.95
124.0,0.4933417499999999,53.73,35.03
123.0,0.596813,59.95,34.15
121.0,0.3473405,61.58,34.5
120.0,0.32812975,52.18,34.75
120.0,0.29803275,49.8,34.68
122.0,0.31564225,51.52,34.93
122.0,0.33197175,52.47,34.45
121.0,0.4248235,136.12,34.18
118.0,0.472904,55.85,34.43
117.0,0.4741845,57.08,35.09
115.0,0.4796275,60.62,35.15
112.0,0.49851825,62.73,34.93
113.0,0.5065225,64.77,34.81
116.0,0.5113252500000001,64.52,34.65
125.0,0.5154875,67.87,34.59
159.0,0.493075,63.43,34.66
170.0,0.4972372499999999,67.13,34.77
174.0,0.4828294999999999,66.05,34.65
173.0,0.4677809999999999,60.25,34.66
115.0,0.2756205,60.55,31.89
136.0,2.3402605000000003,78.7,32.27
118.0,0.2234844999999999,66.3,33.43
115.0,0.4450484999999999,74.23,32.43
121.0,0.28944125,57.18,32.65
118.0,0.3906179999999999,78.02,30.77
113.0,0.30769175,59.23,30.59
116.0,0.1210274999999999,65.12,33.23
120.0,0.3329322499999999,83.48,34.13
122.0,0.3048099999999999,58.15,34.45
102.0,0.2093964999999999,58.77,30.01
99.0,0.3003274999999999,53.77,34.39
101.0,0.2823974999999999,51.88,33.71
109.0,0.2542215,57.73,33.5
129.0,0.2929637499999999,52.08,33.61
160.0,0.22764675,60.95,32.59
144.0,0.23725225,67.28,31.85
129.0,0.226366,58.57,32.31
75.0,0.2990465,58.28,33.77
92.0,0.36340275,57.73,33.89
112.0,0.1949234999999999,80.27,34.13
113.0,0.2353172499999999,79.93,33.91
113.0,0.2660525,77.73,33.79
